id,key,value,type
7370383,name,Andreas Bonnstraat,regular
7370383,oneway,yes,regular
7370383,highway,unclassified,regular
7370383,cycleway,opposite,regular
7370385,lit,yes,regular
7370385,foot,yes,regular
7370385,name,Amstel,regular
7370385,oneway,yes,regular
7370385,highway,unclassified,regular
7370385,cycleway,opposite,regular
7370385,sidewalk,both,regular
7370385,left,lane,cycleway
7370385,bicycle,no,oneway
7370385,left:width,1.25,cycleway
7370385,left:surface,paving_stones,cycleway
7370385,left:surface:color,red,cycleway
7370396,name,Spinozahof,regular
7370396,highway,living_street,regular
7370397,name,Spinozastraat,regular
7370397,highway,unclassified,regular
7370401,highway,service,regular
7370403,name,Nieuwe Achtergracht,regular
7370403,oneway,yes,regular
7370403,highway,unclassified,regular
7370404,name,Weesperplein,regular
7370404,highway,unclassified,regular
7370421,name,Nieuwe Prinsengracht,regular
7370421,oneway,yes,regular
7370421,highway,unclassified,regular
7370423,name,Lepelkruisstraat,regular
7370423,highway,unclassified,regular
7370425,lit,yes,regular
7370425,foot,yes,regular
7370425,name,Amstel,regular
7370425,oneway,yes,regular
7370425,highway,unclassified,regular
7370425,cycleway,opposite,regular
7370425,sidewalk,both,regular
7370425,bicycle,no,oneway
7370426,name,Manegestraat,regular
7370426,highway,pedestrian,regular
7370428,lit,yes,regular
7370428,name,Nieuwe Kerkstraat,regular
7370428,highway,unclassified,regular
7370428,maxspeed,30,regular
7370429,name,Amstel,regular
7370429,highway,unclassified,regular
7370431,lit,yes,regular
7370431,name,Nieuwe Kerkstraat,regular
7370431,oneway,yes,regular
7370431,highway,unclassified,regular
7370431,cycleway,opposite,regular
7370431,maxspeed,30,regular
7370431,bicycle,no,oneway
7370433,name,Plantage Muidergracht,regular
7370433,oneway,yes,regular
7370433,highway,unclassified,regular
7370433,cycleway,opposite,regular
7370433,maxspeed,30,regular
7370433,moped,no,oneway
7370433,bicycle,no,oneway
7370467,name,Maarten Jansz. Kosterstraat,regular
7370467,oneway,yes,regular
7370467,highway,residential,regular
7370467,maxspeed,30,regular
7370470,name,Sarphatistraat,regular
7370470,lanes,1,regular
7370470,oneway,yes,regular
7370470,highway,tertiary,regular
7370470,cycleway,lane,regular
7370470,maxspeed,50,regular
7370470,surface,asphalt,cycleway
7370470,surface:color,red,cycleway
7370473,alt_name,Professor Tulpplein,regular
7370473,highway,residential,regular
7370473,lit,yes,regular
7370473,maxspeed,50,regular
7370473,name,Prof. Tulpplein,regular
7370473,oneway,yes,regular
7370473,surface,asphalt,regular
7370473,colour,black,surface
7370477,name,Mauritskade,regular
7370477,oneway,yes,regular
7370477,highway,unclassified,regular
7370477,cycleway,opposite,regular
7370479,name,Muntendamstraat,regular
7370479,highway,footway,regular
7370480,gauge,1435,regular
7370480,oneway,yes,regular
7370480,railway,tram,regular
7370480,voltage,600,regular
7370480,frequency,0,regular
7370480,electrified,contact_line,regular
7370482,name,Huddestraat,regular
7370482,oneway,yes,regular
7370482,highway,unclassified,regular
7370482,cycleway,opposite_lane,regular
7370482,maxspeed,30,regular
7370488,name,Nieuwe Achtergracht,regular
7370488,access,private,regular
7370488,highway,service,regular
7370489,name,Roetersstraat,regular
7370489,gauge,1435,regular
7370489,oneway,no,regular
7370489,highway,tertiary,regular
7370489,railway,tram,regular
7370489,voltage,600,regular
7370489,maxspeed,50,regular
7370489,frequency,0,regular
7370489,electrified,contact_line,regular
7370494,lit,yes,regular
7370494,name,Nieuwe Kerkstraat,regular
7370494,oneway,yes,regular
7370494,highway,unclassified,regular
7370494,cycleway,opposite,regular
7370496,cycleway,opposite,regular
7370496,left,lane,cycleway
7370496,left:surface,paving_stones,cycleway
7370496,left:surface:color,red,cycleway
7370496,left:width,1.25,cycleway
7370496,foot,yes,regular
7370496,highway,unclassified,regular
7370496,lit,yes,regular
7370496,name,Amstel,regular
7370496,oneway,yes,regular
7370496,bicycle,no,oneway
7370496,sidewalk,both,regular
7370502,name,Roetersstraat,regular
7370502,gauge,1435,regular
7370502,highway,tertiary,regular
7370502,railway,tram,regular
7370502,voltage,600,regular
7370502,maxspeed,50,regular
7370502,frequency,0,regular
7370502,electrified,contact_line,regular
7370504,lit,yes,regular
7370504,foot,yes,regular
7370504,name,Amstel,regular
7370504,oneway,yes,regular
7370504,highway,unclassified,regular
7370504,cycleway,opposite,regular
7370504,sidewalk,both,regular
7370506,name,Roetersstraat,regular
7370506,gauge,1435,regular
7370506,oneway,yes,regular
7370506,highway,tertiary,regular
7370506,railway,tram,regular
7370506,voltage,600,regular
7370506,maxspeed,50,regular
7370506,frequency,0,regular
7370506,electrified,contact_line,regular
7370507,name,Nieuwe Prinsengracht,regular
7370507,oneway,yes,regular
7370507,highway,unclassified,regular
7370511,lit,yes,regular
7370511,ref,S110,regular
7370511,name,Amsteldijk,regular
7370511,bicycle,no,regular
7370511,highway,primary,regular
7370511,maxspeed,50,regular
7370536,lit,yes,regular
7370536,highway,unclassified,regular
7370536,maxspeed,50,regular
7370537,lit,yes,regular
7370537,ref,S112,regular
7370537,name,Weesperstraat,regular
7370537,oneway,yes,regular
7370537,bicycle,no,regular
7370537,highway,primary,regular
7370537,maxspeed,50,regular
7370539,name,Nieuwe Prinsengracht,regular
7370539,highway,unclassified,regular
7370539,maxspeed,50,regular
7370547,lit,yes,regular
7370547,ref,S112,regular
7370547,name,Weesperplein,regular
7370547,oneway,yes,regular
7370547,bicycle,no,regular
7370547,highway,primary,regular
7370547,maxspeed,50,regular
7370550,lit,yes,regular
7370550,ref,S112,regular
7370550,name,Weesperplein,regular
7370550,oneway,yes,regular
7370550,bicycle,no,regular
7370550,highway,primary,regular
7370550,maxspeed,50,regular
7370551,name,Nieuwe Achtergracht,regular
7370551,highway,unclassified,regular
7370551,maxspeed,50,regular
7370553,lit,yes,regular
7370553,ref,S112,regular
7370553,name,Weesperstraat,regular
7370553,oneway,yes,regular
7370553,bicycle,no,regular
7370553,highway,primary,regular
7370553,maxspeed,50,regular
7370555,highway,unclassified,regular
7370556,lit,yes,regular
7370556,ref,S112,regular
7370556,name,Weesperstraat,regular
7370556,oneway,yes,regular
7370556,bicycle,no,regular
7370556,highway,primary,regular
7370556,maxspeed,50,regular
7370557,lit,yes,regular
7370557,name,Nieuwe Prinsengracht,regular
7370557,highway,primary,regular
7370557,maxspeed,50,regular
7370559,lit,yes,regular
7370559,ref,S112,regular
7370559,name,Weesperstraat,regular
7370559,oneway,yes,regular
7370559,bicycle,no,regular
7370559,highway,primary,regular
7370559,maxspeed,50,regular
7370563,highway,unclassified,regular
7370599,highway,unclassified,regular
7370599,name,Krom Boomssloot,regular
7370599,oneway,yes,regular
7370602,name,Nieuwe Herengracht,regular
7370602,highway,unclassified,regular
7370604,name,Nieuwe Amstelstraat,regular
7370604,oneway,yes,regular
7370604,highway,unclassified,regular
7370605,name,Krom Boomssloot,regular
7370605,oneway,yes,regular
7370605,highway,unclassified,regular
7370605,cycleway,opposite,regular
7370607,highway,unclassified,regular
7370607,name,Houtkopersdwarsstraat,regular
7370608,highway,cycleway,regular
7370608,lit,yes,regular
7370608,indirect,yes,lit
7370608,oneway,no,regular
7370608,smoothness,good,regular
7370608,surface,asphalt,regular
7370608,colour,red,surface
7370608,width,4.00,regular
7370610,name,Oudeschans,regular
7370610,oneway,yes,regular
7370610,highway,unclassified,regular
7370611,name,Houtkopersburgwal,regular
7370611,oneway,yes,regular
7370611,highway,unclassified,regular
7370611,cycleway,opposite,regular
7370616,name,Anne Frankstraat,regular
7370616,highway,unclassified,regular
7370616,maxspeed,50,regular
7370618,name,Nieuwe Herengracht,regular
7370618,oneway,yes,regular
7370618,highway,unclassified,regular
7370630,name,Plantage Doklaan,regular
7370630,oneway,yes,regular
7370630,highway,residential,regular
7370630,maxspeed,50,regular
7370630,wikipedia,nl:Plantage Doklaan,regular
7370636,foot,yes,regular
7370636,highway,cycleway,regular
7370636,lit,yes,regular
7370636,name,Plantage Kerklaan,regular
7370636,oneway,yes,regular
7370636,smoothness,intermediate,regular
7370636,surface,paving_stones:30,regular
7370636,colour,red,surface
7370636,width,3.00,regular
7370639,access,no,regular
7370639,electrified,contact_line,regular
7370639,frequency,0,regular
7370639,gauge,1435,regular
7370639,highway,service,regular
7370639,lit,yes,regular
7370639,maxspeed,50,regular
7370639,name,Plantage Parklaan,regular
7370639,oneway,yes,regular
7370639,psv,yes,regular
7370639,railway,tram,regular
7370639,voltage,600,regular
7370643,name,Nieuwe Amstelstraat,regular
7370643,highway,pedestrian,regular
7370644,name,Turfsteeg,regular
7370644,oneway,yes,regular
7370644,highway,unclassified,regular
7370646,highway,cycleway,regular
7370646,indirect,yes,lit
7370646,name,Plantage Middenlaan,regular
